volunteer_id,skill,preferred_task,location,available_time,language,transport,task_history,rating_reliability,name
1,Education,Medical,Surat,6hr pm,Gujarati,Car,26,4.23,Neha Verma
2,Rescue,Education,Vadodara,5hr am,Hindi,Car,50,3.97,Karan Kumar
3,Rescue,Medical,Rajkot,6hr pm,Gujarati,,13,3.23,Pooja Patel
4,Water,Water,Surat,6hr am,Hindi,Bike,14,2.68,Amit Sharma
5,Food,Rescue,Vadodara,7hr am,Gujarati,,21,4.38,Arjun Verma
6,Medical,Medical,Surat,8hr pm,Gujarati,Bike,39,4.14,Isha Sharma
7,Rescue,Medical,Rajkot,7hr pm,English,Car,47,3.05,Karan Mehta
8,Food,Food,Surat,4hr am,Gujarati,Car,16,2.95,Pooja Singh
9,Food,Water,Rajkot,2hr am,Hindi,Car,21,4.12,Priya Patel
10,Medical,Medical,Surat,3hr am,English,Car,29,3.69,Sneha Joshi
11,Medical,Medical,Ahmedabad,8hr pm,English,Car,48,4.93,Arjun Sharma
12,Rescue,Rescue,Rajkot,5hr pm,Gujarati,Bike,38,3.64,Arjun Patel
13,Water,Education,Ahmedabad,5hr pm,Hindi,Car,41,4.17,Rohit Patel
14,Education,Medical,Ahmedabad,2hr am,Gujarati,,43,4.64,Rahul Verma
15,Medical,Medical,Surat,5hr pm,Hindi,,49,4.56,Anjali Kumar
16,Water,Food,Ahmedabad,4hr am,Gujarati,Car,33,4.78,Anjali Gupta
17,Medical,Education,Navsari,2hr pm,Hindi,,15,4.24,Rohit Mehta
18,Medical,Water,Surat,7hr am,Gujarati,Car,27,3.83,Isha Verma
19,Medical,Water,Surat,8hr pm,Hindi,Bike,27,3.96,Sneha Nair
20,Medical,Rescue,Navsari,7hr pm,Hindi,Bike,33,2.92,Anjali Singh
21,Rescue,Rescue,Vadodara,7hr am,English,Bike,7,4.77,Rohit Sharma
22,Rescue,Rescue,Navsari,6hr pm,English,,23,3.39,Sneha Mehta
23,Food,Water,Vadodara,6hr pm,Hindi,Car,26,2.76,Amit Verma
24,Food,Medical,Surat,2hr pm,Gujarati,Bike,47,2.61,Amit Gupta
25,Medical,Rescue,Surat,5hr pm,English,,37,2.97,Anjali Sharma
26,Education,Medical,Navsari,3hr am,Gujarati,,15,3.35,Vikram Reddy
27,Medical,Education,Ahmedabad,2hr am,Hindi,Bike,16,3.6,Sneha Joshi
28,Education,Food,Vadodara,4hr pm,English,Car,29,4.35,Karan Patel
29,Food,Rescue,Navsari,8hr am,Hindi,Car,35,2.68,Pooja Joshi
30,Medical,Water,Surat,8hr am,English,Bike,32,4.13,Arjun Mehta
31,Water,Food,Rajkot,4hr pm,Hindi,Car,1,4.23,Amit Singh
32,Medical,Medical,Navsari,3hr am,Hindi,Bike,47,3.64,Rohit Verma
33,Water,Water,Vadodara,6hr pm,Hindi,,3,2.85,Vikram Mehta
34,Education,Education,Vadodara,4hr pm,Hindi,,26,2.69,Sneha Kumar
35,Food,Rescue,Vadodara,6hr pm,Hindi,Bike,32,3.33,Amit Verma
36,Education,Water,Ahmedabad,7hr pm,English,Bike,28,3.68,Amit Reddy
37,Rescue,Rescue,Surat,7hr am,English,Bike,22,2.85,Isha Reddy
38,Water,Food,Rajkot,3hr am,English,Bike,1,4.3,Priya Kumar
39,Education,Water,Vadodara,3hr pm,English,Bike,28,4.18,Rahul Nair
40,Education,Food,Surat,1hr pm,Hindi,,3,3.35,Amit Gupta
41,Rescue,Food,Navsari,8hr am,Hindi,,48,2.8,Priya Singh
42,Education,Rescue,Rajkot,7hr am,Hindi,,14,4.41,Amit Verma
43,Medical,Water,Vadodara,5hr pm,Hindi,Car,26,4.52,Vikram Kumar
44,Food,Food,Ahmedabad,8hr am,Hindi,Bike,20,2.88,Karan Reddy
45,Rescue,Rescue,Ahmedabad,8hr pm,Hindi,Car,46,3.55,Rahul Verma
46,Food,Medical,Ahmedabad,6hr pm,Gujarati,Bike,42,4.16,Pooja Patel
47,Food,Medical,Ahmedabad,8hr pm,Gujarati,Car,21,3.57,Anjali Verma
48,Medical,Rescue,Vadodara,4hr pm,Gujarati,Car,49,4.04,Arjun Mehta
49,Medical,Medical,Navsari,4hr am,English,,1,4.6,Neha Sharma
50,Food,Medical,Navsari,3hr am,Gujarati,Bike,43,2.58,Rohit Singh
51,Water,Medical,Vadodara,3hr am,English,Car,45,4.55,Isha Singh
52,Medical,Medical,Rajkot,2hr am,Gujarati,,9,4.13,Rahul Singh
53,Education,Food,Surat,3hr pm,English,,4,2.57,Anjali Mehta
54,Medical,Medical,Ahmedabad,6hr pm,Hindi,Car,44,3.98,Arjun Nair
55,Food,Education,Ahmedabad,1hr am,Gujarati,Bike,21,4.4,Vikram Patel
56,Rescue,Water,Rajkot,6hr pm,Gujarati,Car,34,3.27,Priya Joshi
57,Food,Food,Ahmedabad,1hr am,Gujarati,,23,2.68,Sneha Patel
58,Water,Water,Ahmedabad,3hr am,English,Car,38,3.94,Neha Joshi
59,Food,Water,Rajkot,1hr pm,English,Bike,3,4.96,Rohit Mehta
60,Water,Medical,Vadodara,6hr am,English,,1,3.15,Sneha Nair
61,Medical,Food,Ahmedabad,5hr am,Gujarati,Car,11,4.11,Anjali Sharma
62,Education,Rescue,Ahmedabad,7hr pm,Hindi,,33,4.49,Rohit Mehta
63,Water,Water,Surat,4hr am,Gujarati,,50,2.72,Karan Joshi
64,Rescue,Food,Surat,4hr am,Hindi,Bike,11,4.37,Karan Verma
65,Rescue,Medical,Navsari,3hr am,English,,25,3.56,Vikram Patel
66,Rescue,Rescue,Rajkot,6hr am,English,Bike,20,4.06,Amit Sharma
67,Water,Food,Rajkot,4hr pm,English,Car,49,2.63,Rohit Mehta
68,Medical,Food,Ahmedabad,8hr pm,English,Bike,12,4.7,Pooja Verma
69,Food,Water,Vadodara,7hr pm,English,Car,4,3.46,Karan Nair
70,Medical,Education,Vadodara,6hr am,Hindi,Bike,7,2.65,Priya Nair
